mission,date,date_time,latitude,longitude,sample_type,snow_thickness,sample_thickness_cm_average,sample_thickness_cm_sd,pi
ice_camp_2016,2016-06-01,2016-06-01T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,135.75,1.48477117918737,"Galindo, V."
ice_camp_2016,2016-06-03,2016-06-03T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,123.846153846154,5.0965045839633,"Galindo, V."
ice_camp_2016,2016-06-06,2016-06-06T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,121.3125,2.75,"Galindo, V."
ice_camp_2016,2016-06-08,2016-06-08T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,131.909090909091,6.91381702107206,"Galindo, V."
ice_camp_2016,2016-06-10,2016-06-10T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,137,3.44342022662684,"Galindo, V."
ice_camp_2016,2016-06-13,2016-06-13T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,149.285714285714,4.04643378465858,"Galindo, V."
ice_camp_2016,2016-06-15,2016-06-15T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,140,5.56776436283002,"Galindo, V."
ice_camp_2016,2016-06-17,2016-06-17T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,146.533333333333,3.70070778301099,"Galindo, V."
ice_camp_2016,2016-06-20,2016-06-20T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,134.176470588235,6.61660122454919,"Galindo, V."
ice_camp_2016,2016-06-22,2016-06-22T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,128.076923076923,4.49928769291204,"Galindo, V."
ice_camp_2016,2016-06-24,2016-06-24T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,129.384615384615,3.42876220470453,"Galindo, V."
ice_camp_2016,2016-06-27,2016-06-27T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,129.466666666667,3.136573805619,"Galindo, V."
ice_camp_2016,2016-06-29,2016-06-29T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,127.181818181818,1.88775961489708,"Galindo, V."
ice_camp_2016,2016-07-01,2016-07-01T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,118.75,4.13924308700677,"Galindo, V."
ice_camp_2016,2016-07-04,2016-07-04T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,115.125,7.10750776761212,"Galindo, V."
ice_camp_2016,2016-07-06,2016-07-06T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,106.916666666667,1.97522534195852,"Galindo, V."
ice_camp_2016,2016-07-08,2016-07-08T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,105.75,3.19374388453426,"Galindo, V."
